교과목명,강의시간,실험실습시간,분반,수강정원,강의실,시작시간
C프로그래밍Ⅰ,2,2,01,25,,
C프로그래밍Ⅰ,2,2,02,25,,
C프로그래밍Ⅰ,2,2,03,35,,
C프로그래밍Ⅰ,2,2,04,35,,
C프로그래밍Ⅰ,2,2,05,35,,
컴퓨터공학입문,2,2,01,40,,
컴퓨터공학입문,2,2,02,40,,
컴퓨터공학입문,2,2,03,40,,
컴퓨터공학입문,2,2,04,40,,
C++프로그래밍,2,2,01,35,,
C++프로그래밍,2,2,02,35,,
C++프로그래밍,2,2,03,35,,
C++프로그래밍,2,2,04,35,,
디지털공학 및 실습,2,2,01,40,IoT실습실,
디지털공학 및 실습,2,2,02,40,IoT실습실,
디지털공학 및 실습,2,2,03,40,IoT실습실,
디지털공학 및 실습,2,2,04,40,IoT실습실,
마이크로프로세서및실습,2,2,01,35,기초전기전자 실습실,
자료구조및실습,2,2,01,35,,
컴퓨터시스템기초설계,2,2,01,40,,
컴퓨터시스템기초설계,2,2,02,40,,
컴퓨터시스템기초설계,2,2,03,40,,
컴퓨터시스템기초설계,2,2,04,40,,
공학설계Ⅰ(캡스톤디자인),1,2,01,200,X,수14
데이터베이스설계,2,2,01,28,,
데이터베이스설계,2,2,02,28,,
디지털신호처리및실습,2,2,01,35,,
알고리즘및실습,2,2,01,40,,
알고리즘및실습,2,2,02,40,,
알고리즘및실습,2,2,03,40,,
알고리즘및실습,2,2,04,40,,
운영체제,3,0,01,40,,
운영체제,3,0,02,40,,
운영체제,3,0,03,40,,
운영체제,3,0,04,40,,
웹프로그래밍(창업),2,2,01,35,,
웹프로그래밍(창업),2,2,02,35,,
컴퓨터구조,3,0,01,40,,
컴퓨터구조,3,0,02,40,,
컴퓨터구조,3,0,03,40,,
컴퓨터구조,3,0,04,40,,
컴퓨터네트워크,3,0,01,40,,
컴퓨터네트워크,3,0,02,40,,
컴퓨터네트워크,3,0,03,40,,
컴퓨터네트워크,3,0,04,40,,
공학설계Ⅱ(캡스톤디자인),1,2,01,50,X,수14
IoT개론및실습,2,2,01,35,,
가상증강현실및실습,2,2,01,35,가상현실 실습실,
네트워크프로그래밍,2,2,01,35,,
멀티코어프로그래밍,2,2,01,30,,
모바일 시스템 프로그래밍,2,2,01,35,,
산업체취·창업특강,1,0,01,80,이론 강의실6,
스마트IoT응용및실습,2,2,01,40,임베디드시스템 실습실,
인공지능,3,0,01,35,,
정보보호개론,3,0,01,60,이론 강의실6,
졸업설계Ⅰ(캡스톤디자인),1,4,01,200,X,수14
졸업설계Ⅱ(캡스톤디자인),1,4,01,50,X,수14
지능형인터페이스및실습,2,2,01,35,기초전기전자 실습실,
컴파일러및실습,2,2,01,32,,
컴퓨터비젼및실습,2,2,01,35,,
C프로그래밍Ⅱ,2,2,01,35,,
기초전기전자및실습,2,2,01,35,기초전기전자 실습실,
자바프로그래밍,2,2,01,35,,
창의적공학설계(AD),2,2,01,35,,
