4.교과목명,강의시간,실험실습시간,분반,수강정원,강의실,시작시간
C프로그래밍Ⅰ,2,2,01,25,2공학관 121a호-2공학관 407호,화13 금15
C프로그래밍Ⅰ,2,2,02,25,2공학관 121호-2공학관 409호,수10 목9
C프로그래밍Ⅰ,2,2,03,35,2공학관 314호-2공학관 410호,목11 화11
C프로그래밍Ⅰ,2,2,04,35,2공학관 315호-2공학관 408호,금9 목11
C프로그래밍Ⅰ,2,2,05,35,2공학관 314호-2공학관 409호,월15 수14
컴퓨터공학입문,2,2,01,40,2공학관 316호-2공학관 117호,화13 수11
컴퓨터공학입문,2,2,02,40,2공학관 315호-2공학관 401호,금11 월13
컴퓨터공학입문,2,2,03,40,2공학관 315호-2공학관 407호,금15 목11
컴퓨터공학입문,2,2,04,40,2공학관 121a호-2공학관 407호,월14 목9
C++프로그래밍,2,2,01,35,2공학관 316호-2공학관 249호,월10 금13
C++프로그래밍,2,2,02,35,2공학관 316호-2공학관 410호,월15 금13
C++프로그래밍,2,2,03,35,2공학관 121호-2공학관 408호,목11 화9
C++프로그래밍,2,2,04,35,2공학관 314호-2공학관 117호,목9 화15
디지털공학 및 실습,2,2,01,40,2공학관 119호-2공학관 119호,수9 금14
디지털공학 및 실습,2,2,02,40,2공학관 119호-2공학관 119호,금10 화14
디지털공학 및 실습,2,2,03,40,2공학관 119호-2공학관 119호,화11 월9
디지털공학 및 실습,2,2,04,40,2공학관 119호-2공학관 119호,수13 화9
마이크로프로세서및실습,2,2,01,35,2공학관 117호-2공학관 117호,수14 금15
자료구조및실습,2,2,01,35,2공학관 316호-2공학관 403호,목11 월15
컴퓨터시스템기초설계,2,2,01,40,2공학관 314호-2공학관 401호,월9 금11
컴퓨터시스템기초설계,2,2,02,40,2공학관 314호-2공학관 409호,금15 월9
컴퓨터시스템기초설계,2,2,03,40,2공학관 315호-2공학관 117호,월14 목14
컴퓨터시스템기초설계,2,2,04,40,2공학관 316호-2공학관 125호,금15 화13
공학설계Ⅰ(캡스톤디자인),1,2,01,200,X,수14
데이터베이스설계,2,2,01,28,2공학관 121호-2공학관 408호,금9 화14
데이터베이스설계,2,2,02,28,2공학관 121a호-2공학관 401호,화9 수15
디지털신호처리및실습,2,2,01,35,2공학관 314호-2공학관 401호,금10 월15
알고리즘및실습,2,2,01,40,2공학관 316호-2공학관 401호,금10 화10
알고리즘및실습,2,2,02,40,2공학관 121a호-2공학관 408호,화15 목9
알고리즘및실습,2,2,03,40,2공학관 121a호-2공학관 410호,화11 수11
알고리즘및실습,2,2,04,40,2공학관 314호-2공학관 410호,화9 금9
운영체제,3,0,01,40,2공학관 316호,수11
운영체제,3,0,02,40,2공학관 314호,수9
운영체제,3,0,03,40,2공학관 121a호,금10
운영체제,3,0,04,40,2공학관 121호,화10
웹프로그래밍(창업),2,2,01,35,2공학관 316호-2공학관 125호,금13 수15
웹프로그래밍(창업),2,2,02,35,2공학관 315호-2공학관 119호,수13 목10
컴퓨터구조,3,0,01,40,2공학관 315호,화9
컴퓨터구조,3,0,02,40,2공학관 121호,목13
컴퓨터구조,3,0,03,40,2공학관 121a호,목11
컴퓨터구조,3,0,04,40,2공학관 314호,화11
컴퓨터네트워크,3,0,01,40,2공학관 315호,목13
컴퓨터네트워크,3,0,02,40,2공학관 121호,월10
컴퓨터네트워크,3,0,03,40,2공학관 316호,수14
컴퓨터네트워크,3,0,04,40,2공학관 316호,화9
공학설계Ⅱ(캡스톤디자인),1,2,01,50,X,수14
IoT개론및실습,2,2,01,35,2공학관 121호-2공학관 403호,월14 수10
가상증강현실및실습,2,2,01,35,2공학관 409호-2공학관 409호,수11 화13
네트워크프로그래밍,2,2,01,35,2공학관 121a호-2공학관 124호,수9 월11
멀티코어프로그래밍,2,2,01,30,2공학관 315호-2공학관 408호,금13 화11
모바일 시스템 프로그래밍,2,2,01,35,2공학관 315호-2공학관 401호,월11 수10
산업체취·창업특강,1,0,01,80,담헌실학관 102호,금13
스마트IoT응용및실습,2,2,01,40,2공학관 124호-2공학관 124호,수11 목13
인공지능,3,0,01,35,2공학관 121a호,월10
정보보호개론,3,0,01,60,담헌실학관 102호,월14
졸업설계Ⅰ(캡스톤디자인),1,4,01,200,X,수14
졸업설계Ⅱ(캡스톤디자인),1,4,01,50,X,수14
지능형인터페이스및실습,2,2,01,35,2공학관 117호-2공학관 117호,수9 월13
컴파일러및실습,2,2,01,32,2공학관 316호-2공학관 401호,월13 수13
컴퓨터비젼및실습,2,2,01,35,2공학관 121호-2공학관 409호,수13 목15
C프로그래밍Ⅱ,2,2,01,35,2공학관 314호-2공학관 410호,수13 화9
기초전기전자및실습,2,2,01,35,2공학관 117호-2공학관 117호,목10 금11
자바프로그래밍,2,2,01,35,2공학관 121a호-2공학관 408호,목15 월14
창의적공학설계(AD),2,2,01,35,2공학관 316호-2공학관 401호,수9 목14
